code,fy,eps,bps,roe,debt,op_margin,net_margin,op_profit,revenue,dps
090430,202312,2608.0,70962.0,3.72,20.81,2.94,4.73,1082.0,36740.0,910.0
090430,202412,8591.0,76149.0,11.69,27.37,5.67,15.49,2205.0,38851.0,1125.0
090430,202512,3413.0,78989.0,4.41,26.49,7.9,5.82,3358.0,42528.0,1240.0
180640,202312,5723.0,41041.0,14.79,32.62,15.54,140.84,428.0,2757.0,300.0
180640,202412,7385.0,47735.0,16.75,26.98,16.84,175.31,492.0,2922.0,360.0
180640,202512,2303.0,49668.0,4.75,20.93,-2.52,53.35,-75.0,2984.0,360.0
007660,202312,719.0,4022.0,19.51,134.81,9.21,7.07,622.0,6753.0,95.0
007660,202412,1116.0,4938.0,24.92,141.24,12.17,8.85,1019.0,8369.0,143.0
007660,202512,2257.0,10292.0,29.64,70.53,18.82,14.75,2047.0,10880.0,230.0
161390,202312,5814.0,78306.0,7.85,32.54,14.85,8.15,13279.0,89396.0,1300.0
161390,202412,8998.0,90995.0,10.79,41.58,18.72,12.02,17623.0,94119.0,2000.0
161390,202512,8795.0,99234.0,9.39,87.63,8.68,4.58,18411.0,212023.0,2300.0
047040,202312,1231.0,9847.0,13.19,176.79,5.69,4.48,6625.0,116478.0,
047040,202412,563.0,10444.0,5.62,192.07,3.84,2.31,4031.0,105036.0,
047040,202512,-2195.0,8148.0,-23.89,284.46,-10.12,-11.37,-8154.0,80546.0,
016360,202312,6130.0,74162.0,8.54,753.25,5.63,4.16,7411.0,131684.0,2200.0
016360,202412,10068.0,82018.0,12.89,750.25,8.95,6.68,12058.0,134666.0,3500.0
016360,202512,11279.0,90348.0,13.09,887.64,9.25,6.77,13757.0,148739.0,4000.0
352820,202312,4504.0,70090.0,6.58,71.89,13.57,8.42,2956.0,21781.0,700.0
352820,202412,225.0,77427.0,0.31,55.93,8.16,-0.15,1840.0,22556.0,200.0
352820,202512,-5673.0,76643.0,-7.33,54.46,1.86,-9.6,493.0,26499.0,500.0
009830,202312,-720.0,42720.0,-1.66,167.13,4.43,-0.68,5792.0,130785.0,271.0
009830,202412,-7292.0,49731.0,-15.99,183.18,-2.42,-11.04,-3002.0,123940.0,271.0
009830,202512,-3377.0,47898.0,-7.01,196.32,-2.74,-4.61,-3648.0,133331.0,
064400,202312,3811.0,21369.0,19.05,116.28,8.28,5.93,4640.0,56053.0,
064400,202412,4180.0,24257.0,18.32,112.19,8.57,6.1,5129.0,59826.0,
064400,202512,4548.0,30270.0,17.35,79.68,9.0,7.17,5518.0,61295.0,1850.0
039490,202312,15021.0,178306.0,9.27,961.28,5.92,4.62,5647.0,95448.0,3000.0
039490,202412,29304.0,210068.0,15.98,888.81,9.74,7.4,10982.0,112803.0,7500.0
039490,202512,40504.0,254008.0,18.12,1107.51,8.69,6.51,14882.0,171217.0,11500.0
000880,202312,3886.0,111503.0,3.52,531.77,4.54,3.08,24119.0,531348.0,750.0
000880,202412,7916.0,120927.0,7.17,534.11,4.34,3.04,24161.0,556468.0,800.0
000880,202512,3939.0,133067.0,3.3,497.35,5.54,2.66,41469.0,747854.0,1100.0
021240,202312,6386.0,36380.0,19.03,83.91,18.44,11.88,7313.0,39665.0,1350.0
021240,202412,7664.0,44478.0,19.38,80.27,18.45,13.12,7954.0,43101.0,2630.0
021240,202512,8558.0,51065.0,18.14,93.71,17.7,12.44,8787.0,49636.0,1957.0
326030,202312,-420.0,3622.0,-10.96,125.32,-10.57,-9.97,-375.0,3549.0,
326030,202412,3074.0,6975.0,58.01,80.63,17.59,41.45,963.0,5476.0,
326030,202512,3409.0,10382.0,39.28,45.03,28.86,35.83,2039.0,7067.0,
267270,202312,7077.0,86604.0,9.17,86.16,6.73,3.33,2572.0,38250.0,700.0
267270,202412,5277.0,93865.0,6.18,85.34,5.54,2.5,1904.0,34381.0,500.0
267270,202512,5613.0,104016.0,5.74,86.64,4.52,2.31,1709.0,37765.0,550.0
128940,202312,11415.0,75288.0,16.0,72.57,14.8,11.09,2207.0,14909.0,490.0
128940,202412,9470.0,85558.0,11.89,62.87,14.46,9.39,2162.0,14955.0,1250.0
128940,202512,13235.0,98560.0,14.52,50.23,16.66,12.09,2578.0,15475.0,2000.0
377300,202312,19.0,13981.0,0.14,105.01,-9.2,-3.72,-566.0,6154.0,
377300,202412,-102.0,13824.0,-0.73,131.04,-7.5,-2.81,-575.0,7662.0,
377300,202512,335.0,14062.0,2.4,173.7,5.25,5.81,504.0,9584.0,
032640,202312,1426.0,19711.0,7.49,129.54,6.94,4.38,9980.0,143726.0,650.0
032640,202412,858.0,19906.0,4.4,124.76,5.9,2.15,8631.0,146252.0,650.0
032640,202512,1208.0,20826.0,6.01,117.06,5.77,3.3,8921.0,154517.0,660.0
000100,202312,1673.0,27358.0,6.75,33.88,3.07,7.22,570.0,18590.0,430.0
000100,202412,869.0,28030.0,3.4,36.8,2.65,2.67,549.0,20678.0,500.0
000100,202512,2389.0,30855.0,8.81,36.35,4.77,8.48,1044.0,21866.0,600.0
062040,202312,8807.0,26290.0,46.2,51.94,21.72,18.2,466.0,2145.0,
062040,202412,3214.0,14292.0,29.88,13.46,32.7,25.05,1092.0,3340.0,420.0
062040,202512,4891.0,19269.0,29.21,16.48,35.59,29.67,1786.0,5019.0,1250.0
000500,202312,1521.0,25433.0,5.64,142.23,2.92,1.19,437.0,14986.0,
000500,202412,1802.0,25568.0,6.46,129.86,2.61,1.47,450.0,17271.0,
000500,202512,1787.0,16247.0,10.96,184.82,3.11,2.02,792.0,25457.0,56.0
241560,202312,9192.0,59457.0,16.79,74.17,14.24,9.44,13899.0,97589.0,1600.0
241560,202412,5620.0,70048.0,8.77,74.19,10.19,6.59,8714.0,85512.0,1600.0
241560,202512,4168.0,75131.0,5.71,70.77,7.8,4.58,6861.0,87919.0,1700.0
001440,202312,510.0,6806.0,7.83,97.06,2.81,2.53,798.0,28440.0,
001440,202412,409.0,7931.0,5.85,76.64,3.5,2.25,1152.0,32913.0,
001440,202512,452.0,8622.0,5.48,114.0,3.54,2.47,1286.0,36360.0,
066970,202312,-5372.0,32742.0,-16.35,201.94,-4.79,-4.2,-2223.0,46441.0,
066970,202412,-10416.0,21264.0,-41.74,287.07,-29.29,-19.96,-5587.0,19075.0,
066970,202512,-14393.0,17482.0,-76.95,363.06,-7.28,-24.81,-1569.0,21549.0,
029780,202312,5260.0,76243.0,7.61,254.07,20.23,15.22,8100.0,40042.0,2500.0
029780,202412,5736.0,79525.0,8.0,247.55,20.2,15.16,8854.0,43832.0,2800.0
029780,202512,5575.0,83059.0,7.45,263.01,19.48,14.74,8537.0,43829.0,2800.0
175330,202312,2975.0,26120.0,12.23,1139.34,19.07,14.4,8000.0,41938.0,855.0
175330,202412,3469.0,29348.0,12.8,1065.49,19.6,14.99,9061.0,46238.0,995.0
175330,202512,3688.0,31745.0,12.36,1084.16,20.57,15.77,9523.0,46305.0,1140.0
353200,202312,493.0,16857.0,2.94,29.85,2.61,2.79,237.0,9097.0,300.0
353200,202412,461.0,16996.0,2.73,24.35,1.26,2.66,113.0,8921.0,400.0
353200,202512,924.0,17419.0,5.37,31.28,4.61,4.47,491.0,10653.0,500.0
088350,202312,873.0,17352.0,5.43,855.74,4.64,3.63,10570.0,227824.0,150.0
