code,name,cap,price,per,pbr,eps,bps,div,cns_per,roe,debt,op_margin,op_growth,fy
017800,현대엘리베이터,2955400000000.0,75500.0,8.04,2.52,9398.0,30029.0,18.53,nan,20.11,157.77,8.48,-0.07310589277802393,202512
023530,롯데쇼핑,2888300000000.0,104100.0,15.95,0.19,6401.0,541270.0,3.92,8.42,0.34,124.77,3.98,0.15620376241809342,202512
004800,효성,2872700000000.0,167000.0,6.22,1.07,27590.0,160952.0,2.91,7.26,14.35,88.55,16.16,0.7774762550881953,202512
139130,iM금융지주,2869500000000.0,17710.0,6.64,0.46,2727.0,38972.0,3.86,6.02,7.27,1435.88,7.25,1.214123006833713,202512
483650,달바글로벌,2868400000000.0,222500.0,26.02,11.29,8801.0,20290.0,1.15,21.91,52.59,28.6,19.52,0.6973244147157192,202512
097950,CJ제일제당,2849800000000.0,186300.0,nan,0.41,-41473.0,466060.0,3.17,10.22,-7.67,157.5,4.51,-0.1504717305970663,202512
375500,DL이앤씨,2836200000000.0,74300.0,5.06,0.55,14481.0,132181.0,1.21,6.36,7.34,84.38,5.23,0.4285714285714286,202512
007340,DN오토모티브,2761700000000.0,46400.0,7.12,1.02,6628.0,46067.0,2.12,nan,15.02,115.36,14.36,0.009562057754828768,202512
004370,농심,2740200000000.0,427000.0,13.92,0.87,32367.0,515963.0,1.33,13.2,6.18,35.0,5.23,0.12752912323727772,202512
450080,에코프로머티,2722800000000.0,38650.0,40.52,2.52,949.0,15284.0,nan,nan,2.56,51.05,-16.65,nan,202512
026960,동서,2607200000000.0,25850.0,18.05,1.5,1449.0,17410.0,4.36,nan,8.48,3.52,8.51,0.01797752808988773,202512
003690,코리안리,2587200000000.0,14500.0,6.46,0.68,2267.0,21488.0,3.89,nan,9.03,287.13,7.02,0.16156882091761227,202512
383220,F&F,2562700000000.0,63100.0,4.9,1.22,13659.0,54907.0,4.04,5.27,23.16,41.13,24.23,0.039715997337474995,202512
001720,신영증권,2546600000000.0,155200.0,14.08,0.6,11002.0,257456.0,4.84,nan,8.04,527.21,6.17,0.4386480529022778,202603
011170,롯데케미칼,2545100000000.0,57400.0,nan,0.19,-27422.0,316159.0,1.68,-14.17,-15.13,76.52,-5.1,nan,202512
282330,BGF리테일,2540700000000.0,139700.0,11.81,1.92,12452.0,76586.0,2.79,10.9,15.64,170.83,2.8,0.009141494435612074,202512
489790,한화비전,2534500000000.0,51600.0,21.29,2.67,2358.0,18819.0,nan,13.25,5.4,108.88,9.06,28.509090909090908,202512
426030,TIME 미국나스닥100액티브,nan,45955.0,nan,nan,nan,nan,nan,nan,,,,,
005850,에스엘,2433900000000.0,52600.0,6.38,0.89,8208.0,58754.0,5.29,6.64,12.81,50.74,7.77,0.03011133603238858,202512
103140,풍산,2421300000000.0,83000.0,11.99,0.97,7204.0,89498.0,1.97,8.14,6.54,88.38,5.89,-0.08153180975911056,202512
